id,phase,title,priority,dependencies,goal,deliverables,acceptance
T0604,P6,DOCX 回渲染 Adapter,P0,T0603,使用可配置后端生成回渲染页面。,RenderBackend protocol;implementation,失败不破坏DOCX;后端可替换
T0605,P6,结构化视觉比较,P0,T0604,发现丢图、重叠、空白、方向、题图分离和表格崩坏。,VisualQa;metrics,不以像素完全一致为目标;问题可定位
T0606,P6,审校 API,P0,T0011;T0601,读取页面/块/候选，修改内容、类型、关系和策略。,Review endpoints;audit records,权限/路径安全;修改可重建
T0607,P6,审校 UI,P0,T0606,页面预览、候选对比、题图分配、问题列表。,React review screens,不在UI实现业务规则;修改有确认
T0608,P6,人工修正与锁定,P0,T0606;T0008,创建 manual_correction 候选并防自动覆盖。,ManualCorrectionService,审计完整;可撤销
T0609,P6,区域重识别,P0,T0301;T0409;T0608,选择模型、DPI和策略追加候选并重新融合。,Reprocess endpoint;UI action,旧候选保留;有次数/资源限制
T0610,P6,质量和转换报告,P0,T0602;T0603;T0605,导出页类型、模型、降级、问题、字体和来源摘要。,JobReport;download artifact,不泄露全文;数据与作业一致
T0701,P7,性能基准与剖析,P0,T0515;T0610,记录不同文档类型耗时、内存、显存、模型调用。,Benchmark suite;baseline report,按阶段可复现;包含P50/P95
T0702,P7,缓存和去重,P0,T0005;T0010,页面/区域/模型结果按输入和版本哈希缓存。,CacheStore;eviction,模型升级不误命中;敏感缓存可清理
T0703,P7,并发与背压优化,P0,T0410;T0701,轻任务并发、重模型单并发、队列和公平性。,Scheduler;load tests,无OOM风暴;取消及时
T0704,P7,取消、恢复与断点,P0,T0004;T0702,阶段检查点、重启恢复和清理。,CheckpointManager;resume tests,不重复已完成模型调用;状态一致
T0705,P7,模型网关安全加固,P0,T0010;T0410,TLS/API Key/IP/上传限制/超时/非root/断网。,Security config;penetration checklist,内部端口不暴露;秘密不泄露
T0706,P7,数据清理与隐私测试,P0,T0005;T0013;T0702,临时文件、原始响应、缓存和日志清理。,Retention policy;privacy tests,清理后无残留正文;保留项可配置
T0707,P7,客户端打包,P0,T0607;T0704,构建 macOS 应用和独立 CLI。,Release artifacts;signing plan,干净机器可运行;配置向导可用
T0708,P7,统一模型网关部署,P0,T0401;T0705,部署统一模型网关 8100，并接入当前直接服务 9000/8000/8080。,Gateway deployment;routing configuration;health checks;smoke tests;rollback plan,主应用仅访问8100;profile可切换
T0709,P7,观测与运维,P0,T0013;T0703,健康、模型状态、队列、错误和资源指标。,Dash/report endpoints;runbook,不含正文;异常可定位
T0710,P7,SBOM、许可证和供应链,P0,T0705,生成依赖/模型/镜像清单，固定 revision/digest。,SBOM;THIRD_PARTY_NOTICES,无未评估高风险依赖;可复现
T0711,P7,发布资格回归,P0,T0701;T0706;T0707;T0708;T0710,运行全部黄金集、安全、性能和升级测试。,Release qualification report,阻断问题为0;DOCX打开率100%
T0712,P7,用户与开发文档,P0,T0711,完善安装、使用、故障、开发和模型升级手册。,Docs site/markdown;操作清单,新环境可按文档复现;文档版本一致
